pl_hostname,ra,dec
HD 40307,88.517670,-60.023472
HD 40307,88.517670,-60.023472
HD 40307,88.517670,-60.023472
HD 40307,88.517670,-60.023472
HD 40307,88.517670,-60.023472
HD 27894,65.196030,-59.410835
HD 27442,64.120956,-59.302155
HD 102117,176.210251,-58.703709
HIP 65891,202.605301,-58.664356
HD 221287,352.834747,-58.209732
WASP-73,319.949615,-58.148876
AB Pic,94.803802,-58.054310
HD 30177,70.476555,-58.020756
HD 101930,175.875458,-58.006886
HD 154857,257.815521,-56.680798
HD 154857,257.815521,-56.680798
HD 2039,6.084491,-56.650047
HD 215497,341.653137,-56.599533
HD 215497,341.653137,-56.599533
HD 154672,257.520477,-56.449268
HD 121504,209.321823,-56.040043
HD 106906,184.471634,-55.975525
WASP-46,318.736969,-55.871780
WASP-97,24.604338,-55.772083
HD 63765,116.957161,-54.264145
HD 10647,25.622149,-53.740833
GJ 163,62.315273,-53.373699
GJ 163,62.315273,-53.373699
GJ 163,62.315273,-53.373699
HD 23079,54.929562,-52.915836
HD 113538,196.239487,-52.442924
HD 113538,196.239487,-52.442924
HD 160691,266.036255,-51.834053
HD 160691,266.036255,-51.834053
HD 160691,266.036255,-51.834053
HD 160691,266.036255,-51.834053
GJ 676 A,262.546692,-51.636978
GJ 676 A,262.546692,-51.636978
GJ 676 A,262.546692,-51.636978
bet Pic,86.821198,-51.066513
GJ 86,32.608059,-50.823723
HR 810,40.639442,-50.800293
HD 28254,66.211273,-50.622192
HD 103197,178.220749,-50.292824
WASP-117,36.775433,-50.284519
HD 564,2.470091,-50.267822
WASP-99,39.897690,-50.008003
HD 330075,237.407043,-49.963524
HD 85390,147.510406,-49.790268
HD 213240,337.751526,-49.433270
DENIS-P J082303.1-491201,125.763046,-49.200359
HD 142,1.579898,-49.075191
HD 142,1.579898,-49.075191
GJ 832,323.391571,-49.009006
GJ 832,323.391571,-49.009006
RR Cae,65.273178,-48.651978
HD 216435,343.408051,-48.598286
HD 156411,259.964172,-48.549320
HD 48265,100.007195,-48.541954
WASP-88,309.511200,-48.462067
HD 41004 B,89.956886,-48.239841
HD 41004 A,89.956871,-48.239693
WASP-95,337.457184,-48.003086
WASP-96,1.046351,-47.360626
HD 117618,203.106476,-47.271362
GJ 674,262.166443,-46.895191
HIP 70849,217.327347,-46.463818
HD 152079,253.373901,-46.332958
HD 148156,247.072006,-46.317623
WASP-18,24.354311,-45.677887
WASP-19,148.417007,-45.659191
Kapteyn,77.919090,-45.018414
HD 143361,240.459778,-44.434536
HD 85512,147.779388,-43.502789
HD 153950,256.128632,-43.309769
HD 83443,144.299286,-43.272205
HD 159868,264.748016,-43.145515
HD 159868,264.748016,-43.145515
HD 20794,49.981876,-43.069782
HD 20794,49.981876,-43.069782
HD 20794,49.981876,-43.069782
Lupus-TR-3,232.577576,-42.979908
WASP-23,101.127586,-42.761826
HD 166724,273.498657,-42.575375
WASP-42,192.981552,-42.073608
WASP-4,353.562836,-42.061428
HD 27631,64.939461,-41.960266
HD 75289,131.918289,-41.736794
HD 73526,129.318680,-41.319103
HD 73526,129.318680,-41.319103
WASP-5,359.348999,-41.277149
HD 8535,20.905149,-41.269802
HD 109749,189.318237,-40.812115
HD 102365,176.629471,-40.500355
HD 125595,215.346603,-40.393948
HD 162020,267.659821,-40.318348
WASP-29,357.879547,-39.906719
HD 70642,125.367233,-39.705410
2MASS J12073346-3932539,181.889450,-39.548332
HD 6434,16.167295,-39.488216
2MASS J02192210-3925225,34.842106,-39.422928
WASP-7,311.042603,-39.225273
HD 147513,246.005371,-39.192982
WASP-63,94.336433,-38.323257
HD 4113,10.802486,-37.982632
HIP 105854,321.595306,-37.829430
HD 114613,198.013275,-37.803020
HD 187085,297.391541,-37.780552
HD 208487,329.332703,-37.763622
WASP-45,5.237497,-35.998260
GQ Lup,237.300430,-35.651421
HD 117207,202.337967,-35.570995
HD 190647,301.831970,-35.538631
HIP 67851,208.466919,-35.314362
HIP 67851,208.466919,-35.314362
HD 114386,197.665924,-35.054783
WASP-8,359.900299,-35.031391
WASP-8,359.900299,-35.031391
MOA 2009-BLG-266L,267.008125,-35.005411
GJ 667 C,259.745087,-34.996826
GJ 667 C,259.745087,-34.996826
GJ 667 C,259.745087,-34.996826
GJ 667 C,259.745087,-34.996826
GJ 667 C,259.745087,-34.996826
WASP-66,158.224960,-34.989845
MOA 2008-BLG-310L,268.560542,-34.778053
OGLE 2008-BLG-92L,266.872589,-34.726555
OGLE 2005-BLG-71L,267.540708,-34.673194
HD 16417,39.244198,-34.577976
HD 73267,129.074066,-34.459980
WASP-98,58.428795,-34.328194
WASP-94 A,313.783112,-34.135555
WASP-94 B,313.788147,-34.135521
MOA 2009-BLG-387L,268.461625,-33.990333
HD 50499,103.008438,-33.915562
HD 20868,50.177895,-33.730103
HD 93083,161.087143,-33.577023
HD 181720,290.720764,-32.919056
WASP-64,101.115044,-32.858402
GJ 433,173.862289,-32.539970
HD 47536,99.448410,-32.339733
OGLE 2007-BLG-368L,269.108167,-32.237417
WASP-15,208.927933,-32.159607
HD 114729,198.184402,-31.873348
HD 205739,324.535034,-31.737484
OGLE 2013-BLG-102L,268.029510,-31.690584
HD 45364,96.410316,-31.480953
HD 45364,96.410316,-31.480953
MOA 2010-BLG-477L,271.531006,-31.454477
GJ 3341,78.944664,-31.295952
MOA 2011-BLG-262L,270.097839,-31.245258
GJ 3634,164.646240,-31.143990
OGLE 2008-BLG-355L,269.786713,-30.759472
OGLE 2005-BLG-169L,271.522167,-30.732639
MOA 2010-BLG-328L,269.496338,-30.715176
WASP-41,190.618729,-30.639870
WASP-79,66.370903,-30.600445
OGLE 2012-BLG-406L,268.325714,-30.471167
OGLE 2005-BLG-390L,268.579958,-30.377306
MOA 2008-BLG-379L,269.705994,-30.196930
WASP-72,41.039997,-30.169039
OGLE 2006-BLG-109L,268.143792,-30.087778
OGLE 2006-BLG-109L,268.143792,-30.087778
HD 73256,129.095901,-30.037626
HD 43197,93.398590,-29.897270
OGLE-TR-10,267.867708,-29.876361
OGLE 2013-BLG-341L B,268.031219,-29.846111
HD 169830,276.956177,-29.816866
HD 169830,276.956177,-29.816866
MOA-bin-1L,261.792511,-29.793972
HD 90156,155.980316,-29.645529
Fomalhaut,344.412689,-29.622236
OGLE-TR-056,269.147958,-29.539222
MOA 2007-BLG-400L,272.424917,-29.224153
SWEEPS-11,269.758333,-29.198194
SWEEPS-4,269.724667,-29.189056
OGLE 2003-BLG-235L,271.318115,-28.895000
HD 20782,50.014908,-28.854071
HD 164604,270.778900,-28.560644
MOA 2011-BLG-293L,268.913971,-28.476847
HD 30669,72.118690,-28.419298
OGLE 2014-BLG-124L,270.621704,-28.396250
HD 171238,278.681976,-28.072313
WASP-17,239.962311,-28.061733
HD 47186,99.036613,-27.622297
HD 47186,99.036613,-27.622297
WASP-25,195.359879,-27.522200
OGLE 2011-BLG-265L,269.448822,-27.394527
MOA 2011-BLG-322L,271.223328,-27.220945
MOA 2007-BLG-192L,272.015825,-27.150075
OGLE 2012-BLG-26L,263.577911,-27.142750
OGLE 2012-BLG-26L,263.577911,-27.142750
OGLE 2011-BLG-251L,264.559082,-27.136139
HD 145377,242.901855,-27.078173
HD 192310,303.822449,-27.032976
HD 192310,303.822449,-27.032976
MOA 2009-BLG-319L,271.742208,-26.819692
HD 33283,77.004219,-26.797472
HD 216770,343.973785,-26.658764
PSR B1620-26,245.909262,-26.531594
MOA 2010-BLG-073L,272.547272,-26.522932
HD 4208,11.111043,-26.515680
WASP-61,75.299660,-26.054144
HD 207832,328.151184,-26.026560
HD 207832,328.151184,-26.026560
HATS-8,294.941742,-25.748318
UZ For,53.869339,-25.739395
UZ For,53.869339,-25.739395
HD 77338,135.302063,-25.527061
ROXs 12,246.615616,-25.456865
HD 134987,228.369446,-25.309347
HD 134987,228.369446,-25.309347
GJ 3293,67.148819,-25.169300
GJ 3293,67.148819,-25.169300
SR 12 AB,246.831299,-24.694553
2MASS J01225093-2439505,20.712242,-24.664049
ROXs 42 B,247.812561,-24.545471
HATS-3,312.457428,-24.428793
HD 30856,72.574425,-24.368839
OGLE 2012-BLG-358L,265.694885,-24.261000
HD 179949,288.888458,-24.179352
HD 4732,12.308117,-24.136671
HD 4732,12.308117,-24.136671
HD 86226,149.124359,-24.099390
Oph 11,245.605057,-24.087208
HD 98219,169.448135,-23.975414
WASP-20,5.160559,-23.935728
WASP-34,165.399567,-23.860636
WASP-22,52.818043,-23.819702
HD 181342,290.267639,-23.619572
HD 180902,289.823792,-23.558155
WASP-101,98.351105,-23.486210
GJ 317,130.246735,-23.456289
HATS-1,175.525330,-23.354836
HD 98649,170.215698,-23.217342
HIP 12961,41.678692,-23.086611
WASP-6,348.157257,-22.673937
HATS-2,176.739090,-22.562992
HATS-4,94.112076,-22.546885
HIP 5158,16.508533,-22.453154
HIP 5158,16.508533,-22.453154
HD 224693,359.974304,-22.428114
HD 60532,113.513252,-22.296066
HD 60532,113.513252,-22.296066
HATS-10,294.306824,-22.204477
WASP-78,63.756241,-22.116434
HIP 78530,240.481064,-21.980389
HD 204313,322.050873,-21.726255
HD 204313,322.050873,-21.726255
HATS-5,67.222870,-21.481916
1RXS J160929.1-210524,242.376266,-21.083036
HD 204941,323.097961,-20.957422
HD 18742,45.044407,-20.802603
HD 202206,318.740692,-20.789209
HD 202206,318.740692,-20.789209
GSC 06214-00210,245.477783,-20.719202
HD 220689,351.470795,-20.616030
HD 104067,179.791702,-20.353781
WASP-16,214.683029,-20.275484
HATS-9,290.810089,-20.166317
WASP-67,295.743835,-19.949596
HD 1666,5.218085,-19.931225
HD 11506,28.210558,-19.506975
HD 11506,28.210558,-19.506975
HD 156846,260.142944,-19.333746
WASP-68,305.095795,-19.314680
WASP-83,190.152084,-19.284243
7 CMa,99.170990,-19.255878
WASP-31,169.439026,-19.054773
HATS-6,88.146797,-19.031656
WASP-89,313.899963,-18.971106
HIP 79431,243.174057,-18.875504
HD 141937,238.073120,-18.436066
USco CTIO 108,241.475327,-18.312332
61 Vir,199.601318,-18.311195
61 Vir,199.601318,-18.311195
61 Vir,199.601318,-18.311195
WASP-55,203.758118,-17.503464
HD 125612,215.222977,-17.481522
HD 125612,215.222977,-17.481522
HD 125612,215.222977,-17.481522
HD 212771,336.762787,-17.263659
WASP-49,91.089424,-16.965294
BD-17 63,7.142942,-16.226345
HD 86264,149.240997,-15.895122
WASP-26,4.602897,-15.267305
PSR J1719-1438,259.791962,-14.633600
GJ 876,343.319733,-14.263700
GJ 876,343.319733,-14.263700
GJ 876,343.319733,-14.263700
GJ 876,343.319733,-14.263700
HD 33142,76.898087,-13.986480
BD-13 2130,114.288492,-13.906663
WASP-70 A,315.476959,-13.433218
HD 148427,247.117294,-13.399640
VHS J125601.92-125723.9,194.008957,-12.956031
HD 69830,124.599777,-12.632174
HD 69830,124.599777,-12.632174
HD 69830,124.599777,-12.632174
HD 82943,143.711395,-12.129546
HD 82943,143.711395,-12.129546
HD 103774,179.231628,-12.107909
WASP-47,331.203033,-12.018885
WASP-44,3.903165,-11.938115
HD 168746,275.457428,-11.922684
BD-11 4672,278.370148,-11.636039
HD 109271,188.398148,-11.621868
HD 109271,188.398148,-11.621868
WASP-50,43.688072,-10.898080
BD-10 3166,164.619936,-10.770373
HD 44219,95.059677,-10.725009
WASP-75,342.385712,-10.675560
HD 28185,66.609673,-10.550821
HD 96167,166.312790,-10.291301
HD 11964,29.290026,-10.242428
HD 11964,29.290026,-10.242428
WASP-43,154.908371,-9.806276
nu Oph,269.756622,-9.773632
nu Oph,269.756622,-9.773632
HD 168443,275.016388,-9.595722
HD 168443,275.016388,-9.595722
BD-08 2823,150.198837,-9.516680
BD-08 2823,150.198837,-9.516680
HD 106270,183.405350,-9.513381
eps Eri,53.232685,-9.458262
91 Aqr,348.972900,-9.087737
HD 38801,86.996567,-8.327700
HD 1690,5.305497,-8.281169
HD 6718,16.952761,-8.233706
HD 1461,4.674448,-8.053001
WASP-36,131.580399,-8.026946
HD 110014,189.811523,-7.995564
GJ 581,229.861771,-7.722280
GJ 581,229.861771,-7.722280
GJ 581,229.861771,-7.722280
HD 210277,332.374451,-7.548654
HD 206610,325.853760,-7.408253
HD 106515 A,183.777359,-7.257327
WASP-77 A,37.155113,-7.060681
Qatar-2,207.655869,-6.804028
CoRoT-17,278.699249,-6.612234
WASP-35,76.081779,-6.229821
CoRoT-16,278.524689,-6.002595
BD-06 1339,88.251183,-5.994844
BD-06 1339,88.251183,-5.994844
HD 222582,355.464722,-5.985757
HD 2638,7.499466,-5.764002
HD 30562,72.151604,-5.674045
CoRoT-14,103.424210,-5.536037
HD 52265,105.075150,-5.367162
HD 126614,216.701172,-5.177780
WASP-69,315.025787,-5.094404
CoRoT-13,102.721138,-5.086445
WASP-106,166.429749,-5.079412
HD 7449,18.622173,-5.047387
HD 7449,18.622173,-5.047387
HD 100777,173.964676,-4.755697
GJ 849,332.418121,-4.640729
K2-4,174.745636,-3.905585
HD 86081,149.024658,-3.808422
CoRoT-24,101.922546,-3.719301
CoRoT-24,101.922546,-3.719301
HD 16141,38.833035,-3.560602
WASP-39,217.326706,-3.444534
81 Cet,39.424168,-3.396175
HAT-P-45,274.373230,-3.381036
HD 107148,184.806213,-3.319789
CoRoT-1,102.079887,-3.102147
HAT-P-46,270.444214,-2.970947
HD 103720,179.171600,-2.778953
HD 179079,287.790955,-2.638385
HD 96063,166.185226,-2.513218
HD 217107,344.564758,-2.395385
HD 217107,344.564758,-2.395385
HD 290327,80.839851,-2.277619
HD 114783,198.182434,-2.265040
HD 218566,347.294708,-2.260742
HD 92788,160.702209,-2.183756
WASP-80,303.167419,-2.144208
WASP-57,223.820099,-2.057665
NY Vir,204.700623,-2.030315
K2-5,169.303497,-1.877976
K2-5,169.303497,-1.877976
WASP-28,353.616150,-1.580064
HD 72659,128.513290,-1.568217
HD 99109,171.072327,-1.529076
K2-3,172.334946,-1.454787
K2-3,172.334946,-1.454787
K2-3,172.334946,-1.454787
CoRoT-12,100.765678,-1.296439
K2-6,178.192261,-1.198477
HD 19994,48.193485,-1.196101
HD 66428,120.869438,-1.162709
WASP-74,304.538818,-1.075676
K2-7,167.093765,-1.065755
CoRoT-7,100.956125,-1.063033
CoRoT-7,100.956125,-1.063033
75 Cet,38.039253,-1.034896
24 Sex,155.868210,-0.902244
24 Sex,155.868210,-0.902244
HD 192263,303.499359,-0.866877
HIP 97233,296.421967,-0.696645
CoRoT-4,102.194664,-0.672774
HD 217786,345.784180,-0.429622
K2-8,169.793671,-0.284375
HD 130322,221.886368,-0.281476
CoRoT-19,97.033585,-0.170681
WASP-54,205.454315,-0.128076
CoRoT-18,98.172409,-0.031586
K2-9,176.264465,0.005301
HD 164509,270.380127,0.104556
CoRoT-3,292.055267,0.121820
CoRoT-20,97.720406,0.226919
HIP 116454,353.955353,0.445516
K2-19,174.960312,0.603575
K2-19,174.960312,0.603575
CoRoT-10,291.063721,0.746143
WASP-71,29.263338,0.758834
HD 5319,13.755836,0.789553
HD 5319,13.755836,0.789553
CoRoT-5,101.277254,0.815239
WASP-37,221.943985,1.064966
HD 38529,86.645470,1.168193
HD 38529,86.645470,1.168193
WASP-32,3.961682,1.200451
CoRoT-2,291.777069,1.383714
CoRoT-8,291.588531,1.426452
GJ 328,133.781754,1.546508
K2-10,172.121964,1.690636
HD 95089,164.698898,1.729216
HD 70573,125.708135,1.859323
WASP-84,131.107101,1.860033
WASP-82,72.660667,1.893921
K2-11,169.042007,1.986840
HD 149143,248.212708,2.084832
ome Ser,237.573105,2.196509
K2-12,173.192032,2.244884
HD 66141,120.566406,2.334571
WASP-24,227.215591,2.343304
K2-13,170.155533,2.502696
K2-14,178.057022,2.594245
HD 10442,25.471457,2.704376
HD 102195,176.426224,2.821483
HD 99492,171.692825,3.006328
HD 99492,171.692825,3.006328
HD 102329,176.694351,3.474293
HD 200964,316.666016,3.803119
HD 200964,316.666016,3.803119
HAT-P-26,213.156387,4.059997
K2-15,178.110794,4.254747
HD 175541,283.920349,4.265325
CoRoT-23,279.782623,4.357806
K2-16,175.097260,4.557340
K2-16,175.097260,4.557340
HD 28678,67.856056,4.575287
HD 74156,130.604675,4.578097
HD 74156,130.604675,4.578097
HD 192699,304.025024,4.580795
HAT-P-41,297.322662,4.672421
HAT-P-35,123.250763,4.787023
GJ 1214,258.828827,4.963920
HD 46375,98.302597,5.462925
CoRoT-27,278.495819,5.538462
CoRoT-28,278.688324,5.573730
HD 159243,263.339783,5.700733
HD 159243,263.339783,5.700733
HAT-P-30,123.949898,5.836719
CoRoT-11,280.687256,5.937688
HAT-P-27,222.767441,5.947368
HD 37605,85.007210,6.060579
HD 37605,85.007210,6.060579
HAT-P-42,135.344391,6.097230
CoRoT-9,280.786713,6.204172
CoRoT-22,280.667114,6.219136
K2-17,178.329773,6.412261
WASP-2,307.725555,6.429536
GJ 179,73.023865,6.476539
CoRoT-29,278.902100,6.479651
CoRoT-25,280.629669,6.513829
CoRoT-6,281.072525,6.663194
HD 171028,278.064552,6.945749
CoRoT-26,279.750519,6.969787
WASP-103,249.314865,7.183352
HD 34445,79.420746,7.353343
WASP-104,160.602432,7.435026
K2-18,172.560455,7.588391
HD 4313,11.418160,7.845021
HD 183263,292.102386,8.358054
HD 183263,292.102386,8.358054
xi Aql,298.562012,8.461452
WASP-65,133.324310,8.523038
HD 220773,351.614349,8.643845
WASP-52,348.494751,8.761262
bet Cnc,124.128838,9.185545
GJ 504,199.193817,9.424156
HD 128311,219.002335,9.746518
HD 128311,219.002335,9.746518
WASP-38,243.959839,10.032566
HD 106252,183.372955,10.041638
HAT-P-43,128.925735,10.206653
CFBDSIR J145829+101343,224.620834,10.228611
18 Del,314.608063,10.839286
HD 45652,97.304962,10.933891
HD 196885,309.966156,11.249649
NGC 2682 Sand 364,132.486755,11.692484
HD 170469,277.295746,11.695502
NGC 2682 YBP 1194,132.753357,11.814655
NGC 2682 YBP 1514,132.753189,11.886530
HD 152581,253.431595,11.973746
HD 31253,73.681892,12.352201
Ross 458,195.194092,12.375724
HD 89307,154.588699,12.621108
PSR B1257+12,195.014903,12.682353
PSR B1257+12,195.014903,12.682353
PSR B1257+12,195.014903,12.682353
NN Ser,238.233871,12.912411
NN Ser,238.233871,12.912411
HD 73534,129.815842,12.960376
HD 75784,133.099747,13.233433
HD 145934,243.291138,13.239476
70 Vir,202.107544,13.778788
HD 1502,4.821110,14.054755
HD 102272,176.598068,14.123986
HAT-P-24,108.825058,14.262599
BD+14 4559,318.399963,14.689387
HN Peg,326.130554,14.771939
HD 285507,61.755104,15.335032
GJ 3470,119.774345,15.391492
HD 142245,238.234497,15.430708
BD+15 2940,240.095566,15.546930
HD 210702,332.963867,16.040550
2MASS J21402931+1625183 A,325.122162,16.421759
WISEP J121756.91+162640.2 A,184.487122,16.444500
HD 231701,293.017334,16.474291
alf Tau,68.980164,16.509302
HAT-P-23,306.123840,16.762152
GU Psc,18.146006,17.065475
tau Boo,206.815598,17.456905
HD 24040,57.595699,17.476366
HD 114762,198.082260,17.517122
11 Com,185.179276,17.792868
HAT-P-39,113.758247,17.830082
DP Leo,169.316667,17.961417
HAT-P-34,303.195343,18.104868
HD 88133,152.531982,18.186871
HD 131496,223.345947,18.235401
WASP-21,347.492706,18.396086
HD 219828,349.694733,18.645720
HD 195019,307.077637,18.769497
HD 209458,330.794891,18.884319
HD 285968,70.732407,18.958172
eps Tau,67.154167,19.180431
Pr0211,130.547882,19.277044
TYC 1422-614-1,154.277802,19.558472
TYC 1422-614-1,154.277802,19.558472
gam 1 Leo,154.993149,19.841488
BD+20 2457,154.186905,19.891409
BD+20 2457,154.186905,19.891409
HD 10697,26.232603,20.083149
Pr0201,130.432602,20.226891
HD 5891,15.138300,20.292484
HD 81040,140.946198,20.364454
BD+20 1790,110.931610,20.416334
HD 100655,173.765640,20.441545
HD 4203,11.171676,20.448927
HD 4203,11.171676,20.448927
HD 37124,84.260361,20.730787
HD 37124,84.260361,20.730787
HD 37124,84.260361,20.730787
51 Peg,344.366577,20.768833
BD+20 274,25.920324,21.005314
HIP 14810,47.809292,21.097359
HIP 14810,47.809292,21.097359
HIP 14810,47.809292,21.097359
HR 8799,346.869659,21.134251
HR 8799,346.869659,21.134251
HR 8799,346.869659,21.134251
HR 8799,346.869659,21.134251
HD 208527,329.099945,21.239859
HD 3651,9.840858,21.250473
WASP-14,218.276474,21.894714
HD 108863,187.582962,21.948244
HD 189733,300.182129,22.710854
HD 108874,187.612015,22.879829
HD 108874,187.612015,22.879829
2MASS J04414489+2301513,70.437073,23.030941
WASP-56,183.366287,23.055698
HD 79498,138.789169,23.375549
alf Ari,31.793364,23.462423
HD 14067,34.293499,23.767832
HD 50554,103.678436,24.245558
HAT-P-20,111.916466,24.336630
30 Ari B,39.240585,24.648064
HD 116029,200.164764,24.648699
WASP-59,349.623138,24.889290
FU Tau,65.898911,25.049898
HAT-P-25,48.435417,25.197405
HD 12661,31.142866,25.414305
HD 12661,31.142866,25.414305
HAT-P-54,99.898003,25.482540
HD 97658,168.638184,25.710384
HAT-P-55,264.273438,25.731186
GJ 649,254.536880,25.744160
HD 177830,286.336548,25.920660
HD 177830,286.336548,25.920660
mu Leo,148.190903,26.006952
HD 203030,319.742584,26.230545
HD 164922,270.628601,26.313002
V0391 Peg,331.050440,26.418860
HAT-P-31,271.537720,26.426662
DH Tau,67.423157,26.549520
HAT-P-49,305.441406,26.692652
GJ 436,175.546219,26.706570
HD 145457,242.516312,26.742750
eps CrB,239.396881,26.877880
HAT-P-56,100.848038,27.252293
HD 158038,261.439301,27.303341
HD 62509,116.328957,28.026199
HD 188015,298.018921,28.100376
XO-1,240.549334,28.169564
55 Cnc,133.149216,28.330818
55 Cnc,133.149216,28.330818
55 Cnc,133.149216,28.330818
55 Cnc,133.149216,28.330818
55 Cnc,133.149216,28.330818
HD 185269,294.298920,28.499865
HD 8574,21.302153,28.566692
HD 156668,259.418701,29.227226
HD 9446,23.334101,29.265148
HD 9446,23.334101,29.265148
omi CrB,230.035660,29.616209
WASP-12,97.636642,29.672291
HD 190360,300.905853,29.896805
HD 190360,300.905853,29.896805
tau Gem,107.784882,30.245163
HAT-P-17,324.536407,30.488716
HAT-P-17,324.536407,30.488716
KELT-6,195.981873,30.640051
WASP-11,47.368965,30.673594
KELT-2 A,92.663948,30.957144
HIP 57274,176.170685,30.959293
HIP 57274,176.170685,30.959293
HIP 57274,176.170685,30.959293
HD 1605,5.131330,30.974804
HD 1605,5.131330,30.974804
WASP-60,356.666565,31.155935
WASP-10,348.992920,31.462852
HD 67087,121.915649,31.551319
HD 67087,121.915649,31.551319
HD 22781,55.206356,31.826290
HD 180314,288.709198,31.860350
WASP-1,5.166984,31.989943
HAT-P-38,35.383232,32.246151
HD 13189,32.417381,32.316437
HAT-P-18,256.346466,33.012512
HD 75898,133.461685,33.056812
rho CrB,240.261093,33.303509
KELT-7,78.295532,33.318165
HD 155358,257.394226,33.355854
HD 155358,257.394226,33.355854
HAT-P-33,113.184212,33.835052
WASP-13,140.102982,33.882439
HD 5608,14.559246,33.950886
HD 87883,152.179749,34.242260
HD 187123,296.742126,34.419525
HD 187123,296.742126,34.419525
HD 8673,21.536604,34.579700
HD 178911 B,287.262939,34.599850
HAT-P-19,9.516742,34.711575
HAT-P-28,13.000766,34.728413
HD 82886,143.938263,34.780743
HAT-P-8,343.041077,35.447109
kap CrB,237.808044,35.657383
WASP-3,278.631805,35.661533
HAT-P-4,229.991355,36.229620
WTS-1,293.993195,36.290325
HD 173416,280.900452,36.556606
Kepler-75,291.137604,36.577385
HAT-P-5,274.405487,36.621410
TrES-1,286.041017,36.632649
WTS-2,293.732788,36.815491
HAT-P-9,110.168526,37.140652
TrES-4,268.304407,37.211769
Kepler-262,290.728668,37.252651
Kepler-262,290.728668,37.252651
Kepler-264,292.044617,37.376247
Kepler-264,292.044617,37.376247
TrES-3,268.029292,37.546139
WASP-33,36.712746,37.550484
Kepler-263,292.469757,37.567795
Kepler-263,292.469757,37.567795
Kepler-261,291.364777,37.609184
Kepler-261,291.364777,37.609184
Kepler-356,292.421082,37.682819
Kepler-356,292.421082,37.682819
Kepler-156,290.296509,37.749489
Kepler-156,290.296509,37.749489
Kepler-19,290.420837,37.851788
Kepler-19,290.420837,37.851788
Kepler-98,285.661652,37.964504
Kepler-260,291.925964,38.014122
Kepler-260,291.925964,38.014122
Kepler-268,291.976166,38.055077
Kepler-268,291.976166,38.055077
Kepler-323,291.382233,38.127472
Kepler-323,291.382233,38.127472
HAT-P-14,260.116180,38.242165
Kepler-405,291.409454,38.340031
Kepler-405,291.409454,38.340031
Kepler-24,290.413269,38.343754
Kepler-24,290.413269,38.343754
Kepler-24,290.413269,38.343754
Kepler-24,290.413269,38.343754
Kepler-167,292.658447,38.345413
Kepler-167,292.658447,38.345413
HD 149026,247.623413,38.347309
Kepler-418,294.433502,38.355450
Kepler-383,291.342590,38.363132
Kepler-383,291.342590,38.363132
Kepler-149,285.853668,38.384121
Kepler-149,285.853668,38.384121
Kepler-149,285.853668,38.384121
Kepler-9,285.573975,38.400894
Kepler-9,285.573975,38.400894
Kepler-9,285.573975,38.400894
Kepler-376,291.607178,38.410385
Kepler-376,291.607178,38.410385
Kepler-274,292.922760,38.477276
Kepler-274,292.922760,38.477276
Kepler-234,291.653503,38.494659
Kepler-234,291.653503,38.494659
Kepler-275,292.479706,38.514927
Kepler-275,292.479706,38.514927
Kepler-275,292.479706,38.514927
Kepler-415,293.804443,38.639130
Kepler-415,293.804443,38.639130
Kepler-371,292.326477,38.657589
Kepler-371,292.326477,38.657589
Kepler-93,291.418274,38.672356
Kepler-93,291.418274,38.672356
HAT-P-1,344.445104,38.674953
Kepler-198,290.673126,38.691010
